Cubic_capacity;Number_of_cylinders;Number_of_valves;Max_power;Max_torque;Compression_rate;Kerb_weight;Gasoline;Diesel;Gasoline_Electric;Diesel_Electric;Direct;Indirect;Turbocharger;Biturbo;Compressor;Naturally_aspirated;Manual;Automatic;AWD;FWD;RWD;FCU;FCH;FCM
1742;4;16;200;320;10,5;1405;1;0;0;0;1;0;1;0;0;0;1;0;0;1;0;11,8;6;8,1
1796;4;16;140;175;10,5;1405;1;0;0;0;0;1;0;0;0;1;1;0;0;1;0;10,4;6,1;7,7
1859;4;16;160;190;11;1455;1;0;0;0;0;1;0;0;0;1;1;0;0;1;0;12,2;6,6;8,7
2198;4;16;185;230;11,25;1465;1;0;0;0;1;0;0;0;0;1;0;1;0;1;0;13;7,3;9,4
2198;4;16;185;230;11,3;1465;1;0;0;0;1;0;0;0;0;1;1;0;0;1;0;13;7,3;9,4
3195;6;24;260;322;11,25;1675;1;0;0;0;1;0;0;0;0;1;0;1;1;0;0;16,5;9,2;12,2
3195;6;24;260;322;11,25;1655;1;0;0;0;1;0;0;0;0;1;1;0;1;0;0;16,9;8,4;11,5
1910;4;8;120;280;18;1500;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;7,8;4,9;5,9
1910;4;16;150;320;18;1515;0;1;0;0;1;0;1;0;0;0;0;1;0;1;0;9,9;5,5;7,1
1910;4;16;150;320;17,5;1510;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;8,1;4,8;6
1956;4;16;136;350;16,5;1465;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;6,6;4,2;5,1
1956;4;16;170;360;16,5;1465;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;6,6;4,3;5,1
2387;5;20;200;400;17;1625;0;1;0;0;1;0;1;0;0;0;0;1;0;1;0;11,6;5,9;8
2387;5;20;200;400;16,5;1605;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;9,3;5,4;6,8
2387;5;20;210;400;17;1605;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;10;6;7,5
2387;5;20;210;400;17;1605;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;9,2;5,4;6,8
